Food Name,Field Changed,Old Value,New Value,Reference Page (IFCT),Reason,Confidence
"Lemon Rice (Pulihora, Elumichai Sadam, Chitranna)",region,All India,Pan Indian,N/A,Invalid region fallback,100%
Curd Rice (Dahi Bhaat/Dahi Chawal/ Perugu Annam/Daddojanam/Thayir Saadam),region,South India,Pan Indian,N/A,Invalid region fallback,100%
Tamarind Rice (Chintapandu Pulihora/Puliyodharai/Puli Sadam/Huli Anna),region,All India,Pan Indian,N/A,Invalid region fallback,100%
Spanish Rice,region,All India,Pan Indian,N/A,Invalid region fallback,100%
Vegetable Chowmein,region,All India,Pan Indian,N/A,Invalid region fallback,100%
Chicken Chowmein,region,All India,Pan Indian,N/A,Invalid region fallback,100%
Cheese Noodle Ring,region,All India,Pan Indian,N/A,Invalid region fallback,100%
Penne Platter,region,All India,Pan Indian,N/A,Invalid region fallback,100%
Pasta Hot Pot,region,All India,Pan Indian,N/A,Invalid region fallback,100%
Chicken Lasagne,region,All India,Pan Indian,N/A,Invalid region fallback,100%
Fettuccine With Spinach Sauce,region,All India,Pan Indian,N/A,Invalid region fallback,100%
Naan,region,All India,Pan Indian,N/A,Invalid region fallback,100%
Idli,region,South India,Pan Indian,N/A,Invalid region fallback,100%
Masala Dosa,region,South India,Pan Indian,N/A,Invalid region fallback,100%
Semolina Dosa (Suji/Rava Dosa),region,South India,Pan Indian,N/A,Invalid region fallback,100%
Onion Tomato Uttapam,region,South India,Pan Indian,N/A,Invalid region fallback,100%
Paneer Kaathi Roll,region,All India,Pan Indian,N/A,Invalid region fallback,100%
Makki Ki Roti,region,All India,Pan Indian,N/A,Invalid region fallback,100%
Washed Moong Dal (Dhuli Moong Ki Dal),region,All India,Pan Indian,N/A,Invalid region fallback,100%
Washed Urad Dal (Dhuli Urad Ki Dal),region,All India,Pan Indian,N/A,Invalid region fallback,100%
Split Bengal Gram With Bottle Gourd (Channa Dal With Ghiya/Lauki),region,All India,Pan Indian,N/A,Invalid region fallback,100%
Dry Washed Urad,region,All India,Pan Indian,N/A,Invalid region fallback,100%
Mixed Dal,region,All India,Pan Indian,N/A,Invalid region fallback,100%
Whole Moong (Moong Ki Dal),region,All India,Pan Indian,N/A,Invalid region fallback,100%
Whole Masoor (Masoor Ki Dal),region,All India,Pan Indian,N/A,Invalid region fallback,100%
Whole Moth (Moth Ki Dal),region,All India,Pan Indian,N/A,Invalid region fallback,100%
Whole Urad (Urad Ki Dal),region,All India,Pan Indian,N/A,Invalid region fallback,100%
Moti Mahal Dal (Urad Rajmah Mix Dal),region,North India,Pan Indian,N/A,Invalid region fallback,100%
Black Channa Curry/Bengal Gram Curry (Kale Chane Ki Curry),region,All India,Pan Indian,N/A,Invalid region fallback,100%
Chickpeas Curry (Safed Channa Curry),region,All India,Pan Indian,N/A,Invalid region fallback,100%
Lobia Curry,region,All India,Pan Indian,N/A,Invalid region fallback,100%
Soyabean Curry,region,All India,Pan Indian,N/A,Invalid region fallback,100%
Kidney Bean Curry (Rajmah Curry),region,North India,Pan Indian,N/A,Invalid region fallback,100%
Sambar,region,South India,Pan Indian,N/A,Invalid region fallback,100%
Besan Kadhi With Pakodies,region,All India,Pan Indian,N/A,Invalid region fallback,100%
Khatta Channa,region,All India,Pan Indian,N/A,Invalid region fallback,100%
Sprouted Moong Dal Chat,region,All India,Pan Indian,N/A,Invalid region fallback,100%
Potato Cauliflower (Aloo Gobhi),region,North India,Pan Indian,N/A,Invalid region fallback,100%
Potato Capsicum (Shimla Mirch Aloo),region,All India,Pan Indian,N/A,Invalid region fallback,100%
Cabbage And Peas (Cabbage Aur Matar),region,All India,Pan Indian,N/A,Invalid region fallback,100%
Carrot And Fenugreek Leaves (Gajar Methi),region,All India,Pan Indian,N/A,Invalid region fallback,100%
Potato Fenugreek (Aloo Methi),region,All India,Pan Indian,N/A,Invalid region fallback,100%
Brinjal Bhartha (Baingan Ka Bhartha),region,All India,Pan Indian,N/A,Invalid region fallback,100%
Dry Potato (Sookhe Aloo),region,All India,Pan Indian,N/A,Invalid region fallback,100%
Beans With Coconut (Nariyal Aur Sem/Phali; Beans Thoran),region,South India,Pan Indian,N/A,Invalid region fallback,100%
Cauliflower With Coconut (Nariyal Ke Saath Phoolgobhi),region,All India,Pan Indian,N/A,Invalid region fallback,100%
Carrot And Cabbage With Coconut (Nariyal Ke Saath Cabbage Aur Gajar),region,All India,Pan Indian,N/A,Invalid region fallback,100%
Raw Turnip With Coconut,region,All India,Pan Indian,N/A,Invalid region fallback,100%
Raw Papaya With Coconut (Papaya Thoran),region,South India,Pan Indian,N/A,Invalid region fallback,100%
Stuffed Okra (Bharwa Bhindi),region,All India,Pan Indian,N/A,Invalid region fallback,100%
Stuffed Round Gourd (Bharwa Tinde),region,All India,Pan Indian,N/A,Invalid region fallback,100%
Stuffed Capsicum (Bharwa Shimla Mirch),region,All India,Pan Indian,N/A,Invalid region fallback,100%
Stuffed Brinjal (Bharwa Baingan),region,All India,Pan Indian,N/A,Invalid region fallback,100%
Stuffed Tomatoes (Bharwa Tamatar),region,All India,Pan Indian,N/A,Invalid region fallback,100%
Pea Potato Curry (Aloo Matar),region,All India,Pan Indian,N/A,Invalid region fallback,100%
Pea Paneer Curry (Matar Paneer),region,All India,Pan Indian,N/A,Invalid region fallback,100%
Pea Mushroom Curry (Matar Mushroom),region,All India,Pan Indian,N/A,Invalid region fallback,100%
Pea Curry (Matar Ki Sabzi),region,All India,Pan Indian,N/A,Invalid region fallback,100%
Pea Vadi Curry,region,All India,Pan Indian,N/A,Invalid region fallback,100%
Paneer Curry,region,All India,Pan Indian,N/A,Invalid region fallback,100%
Lotus Stem Curry (Kamal Kakdi Curry),region,All India,Pan Indian,N/A,Invalid region fallback,100%
Baked Vegetables,region,All India,Pan Indian,N/A,Invalid region fallback,100%
Cauliflower Musallam (Phoolgobhi Musallam),region,West India (Maharashtrian),Pan Indian,N/A,Invalid region fallback,100%
Baked Vegetables With Spinach,region,All India,Pan Indian,N/A,Invalid region fallback,100%
Baked Potato With Skin,region,All India,Pan Indian,N/A,Invalid region fallback,100%
Baked Brinjal In Tomato Sauce,region,All India,Pan Indian,N/A,Invalid region fallback,100%
Dum Aloo,region,North India,Pan Indian,N/A,Invalid region fallback,100%
Spinach Paneer (Palak Paneer),region,All India,Pan Indian,N/A,Invalid region fallback,100%
Methi Chaman,region,All India,Pan Indian,N/A,Invalid region fallback,100%
Sarson Ka Saag,region,All India,Pan Indian,N/A,Invalid region fallback,100%
Jackfruit Sabzi (Kathal Ki Sabzi),region,All India,Pan Indian,N/A,Invalid region fallback,100%
Avial,region,South India,Pan Indian,N/A,Invalid region fallback,100%
Al Yakhani,region,All India,Pan Indian,N/A,Invalid region fallback,100%
Paneer In Butter Sauce,region,All India,Pan Indian,N/A,Invalid region fallback,100%
Chilli Paneer,region,All India,Pan Indian,N/A,Invalid region fallback,100%
Kadhai Paneer,region,All India,Pan Indian,N/A,Invalid region fallback,100%
Roghan Josh,region,All India,Pan Indian,N/A,Invalid region fallback,100%
Spinach Mutton (Palak Mutton),region,All India,Pan Indian,N/A,Invalid region fallback,100%
Mutton Yakhni,region,All India,Pan Indian,N/A,Invalid region fallback,100%
Chicken Yakhni,region,All India,Pan Indian,N/A,Invalid region fallback,100%
Mutton Do Piaza,region,All India,Pan Indian,N/A,Invalid region fallback,100%
Mutton Chops,region,All India,Pan Indian,N/A,Invalid region fallback,100%
Shammi Kebab,region,All India,Pan Indian,N/A,Invalid region fallback,100%
Chicken Curry,region,All India,Pan Indian,N/A,Invalid region fallback,100%
Chicken Kebab,region,All India,Pan Indian,N/A,Invalid region fallback,100%
Chilli Chicken,region,All India,Pan Indian,N/A,Invalid region fallback,100%
Fish Curry (Machli Curry),region,All India,Pan Indian,N/A,Invalid region fallback,100%
Tomato Fish,region,All India,Pan Indian,N/A,Invalid region fallback,100%
Fish Tikka,region,All India,Pan Indian,N/A,Invalid region fallback,100%
Tandoori Fish,region,All India,Pan Indian,N/A,Invalid region fallback,100%
"Paneer, Apple And Pineapple Salad",region,All India,Pan Indian,N/A,Invalid region fallback,100%
Russian Salad,region,All India,Pan Indian,N/A,Invalid region fallback,100%
Pasta Salad,region,All India,Pan Indian,N/A,Invalid region fallback,100%
Deviled Egg,region,All India,Pan Indian,N/A,Invalid region fallback,100%
Hawain Salad,region,All India,Pan Indian,N/A,Invalid region fallback,100%
Mixed Pulse And Vegetable Salad,region,All India,Pan Indian,N/A,Invalid region fallback,100%
Sprouted Moong Salad,region,All India,Pan Indian,N/A,Invalid region fallback,100%
Tossed Salad,region,All India,Pan Indian,N/A,Invalid region fallback,100%
Mixed Vegetable Salad With Curd Sauce,region,All India,Pan Indian,N/A,Invalid region fallback,100%
Potato Salad (Aloo Ka Salaad),region,All India,Pan Indian,N/A,Invalid region fallback,100%
Waldroff Salad,region,All India,Pan Indian,N/A,Invalid region fallback,100%
Coleslaw,region,All India,Pan Indian,N/A,Invalid region fallback,100%
Fruit Salad (Phalon Ka Salaad),region,All India,Pan Indian,N/A,Invalid region fallback,100%
Tomato Onion Raita (Tamatar Aur Onion Ka Raita),region,All India,Pan Indian,N/A,Invalid region fallback,100%
Peanut Raita (Mungfali Ka Raita),region,All India,Pan Indian,N/A,Invalid region fallback,100%
Sprouted Moong Raita,region,All India,Pan Indian,N/A,Invalid region fallback,100%
Bottle Gourd Raita (Ghiya/Lauki Ka Raita),region,All India,Pan Indian,N/A,Invalid region fallback,100%
Cucumber Raita (Kheere Ka Raita),region,All India,Pan Indian,N/A,Invalid region fallback,100%
Carrot And Spinach Raita (Gajar Aur Palak Ka Raita),region,All India,Pan Indian,N/A,Invalid region fallback,100%
Mint Raita (Pudinay Ka Raita),region,All India,Pan Indian,N/A,Invalid region fallback,100%
Potato Raita (Aloo Ka Raita),region,All India,Pan Indian,N/A,Invalid region fallback,100%
Boondi Raita,region,All India,Pan Indian,N/A,Invalid region fallback,100%
Saunth/Sonth Chutney With Tamarind/Imli,region,All India,Pan Indian,N/A,Invalid region fallback,100%
Lemon Souffle,region,All India,Pan Indian,N/A,Invalid region fallback,100%
Orange Souffle,region,All India,Pan Indian,N/A,Invalid region fallback,100%
Vanilla Souffle,region,All India,Pan Indian,N/A,Invalid region fallback,100%
Pineapple Souffle,region,All India,Pan Indian,N/A,Invalid region fallback,100%
Charlotte Rousse,region,All India,Pan Indian,N/A,Invalid region fallback,100%
Apple Snowballs,region,All India,Pan Indian,N/A,Invalid region fallback,100%
Hot Orange Souffle,region,All India,Pan Indian,N/A,Invalid region fallback,100%
Hot Vanilla Souffle,region,All India,Pan Indian,N/A,Invalid region fallback,100%
Chenna Murki,region,All India,Pan Indian,N/A,Invalid region fallback,100%
Cheese Toast,region,All India,Pan Indian,N/A,Invalid region fallback,100%
Vegetable Seekh Kebab,region,All India,Pan Indian,N/A,Invalid region fallback,100%
Paneer Shaslik/Tikka,region,All India,Pan Indian,N/A,Invalid region fallback,100%
Dry Mango Chutney (Sookhe Aam Ki Chutney),region,All India,Pan Indian,N/A,Invalid region fallback,100%
Peanut Chutney (Mungfali Ki Chutney),region,All India,Pan Indian,N/A,Invalid region fallback,100%
Coconut Chutney (Nariyal Ki Chutney),region,All India,Pan Indian,N/A,Invalid region fallback,100%
Mint And Coriander Chutney (Pudinay Aur Dhaniye Ki Chutney),region,All India,Pan Indian,N/A,Invalid region fallback,100%
Minced Meat Patties,region,All India,Pan Indian,N/A,Invalid region fallback,100%
Cheese Patties,region,All India,Pan Indian,N/A,Invalid region fallback,100%
Hot Cheese Souffle,region,All India,Pan Indian,N/A,Invalid region fallback,100%
Hot Potato Souffle,region,All India,Pan Indian,N/A,Invalid region fallback,100%
Hot Fish Souffle,region,All India,Pan Indian,N/A,Invalid region fallback,100%
Hot Spinach Souffle,region,All India,Pan Indian,N/A,Invalid region fallback,100%
Fruit Loaf,region,All India,Pan Indian,N/A,Invalid region fallback,100%
Swiss Roll,region,All India,Pan Indian,N/A,Invalid region fallback,100%
Coconut Finger,region,All India,Pan Indian,N/A,Invalid region fallback,100%
Ginger Bread Man,region,All India,Pan Indian,N/A,Invalid region fallback,100%
Melting Moments,region,All India,Pan Indian,N/A,Invalid region fallback,100%
Soyabean Tikki,region,All India,Pan Indian,N/A,Invalid region fallback,100%
Rice Moong Dal Chilla (Chawal Aur Moong Dal Ka Chilla),region,All India,Pan Indian,N/A,Invalid region fallback,100%
Sprouted Moong Daliya,region,All India,Pan Indian,N/A,Invalid region fallback,100%
Sprouted Moong Poha,region,West India (Maharashtrian),Pan Indian,N/A,Invalid region fallback,100%
Paushtik Roti,region,All India,Pan Indian,N/A,Invalid region fallback,100%
Dhokla,region,West India (Gujarati),Pan Indian,N/A,Invalid region fallback,100%
Kashmiri Tea (Kehwa),region,All India,Pan Indian,N/A,Invalid region fallback,100%
Steeped Hot Coffee,region,All India,Pan Indian,N/A,Invalid region fallback,100%
Flavoured Milkshake,region,All India,Pan Indian,N/A,Invalid region fallback,100%
Jal Jeera,region,All India,Pan Indian,N/A,Invalid region fallback,100%
Gingo,region,All India,Pan Indian,N/A,Invalid region fallback,100%
Mintade,region,All India,Pan Indian,N/A,Invalid region fallback,100%
Canjee,region,All India,Pan Indian,N/A,Invalid region fallback,100%
Cauliflower Canjee (Phoolgobhi Ki Canjee),region,All India,Pan Indian,N/A,Invalid region fallback,100%
Potato Canjee (Aloo Canjee),region,All India,Pan Indian,N/A,Invalid region fallback,100%
Vermicelli Porridge (Semiya/Seviyan Porridge),region,All India,Pan Indian,N/A,Invalid region fallback,100%
Semolina Upma (Suji/Rava Upma),region,South India,Pan Indian,N/A,Invalid region fallback,100%
Vermicelli Upma (Semiya/Seviyan Upma),region,South India,Pan Indian,N/A,Invalid region fallback,100%
Rice Upma,region,South India,Pan Indian,N/A,Invalid region fallback,100%
Bread Upma,region,South India,Pan Indian,N/A,Invalid region fallback,100%
Vegetable Upma,region,South India,Pan Indian,N/A,Invalid region fallback,100%
Poha,region,West India (Maharashtrian),Pan Indian,N/A,Invalid region fallback,100%
Vegetable Poha,region,West India (Maharashtrian),Pan Indian,N/A,Invalid region fallback,100%
Moong Dal Stuffed Chilla/Chilla (Moong Dal Ka Chilla/Chilla),region,All India,Pan Indian,N/A,Invalid region fallback,100%
Paneer Stuffed Chilla/Chilla,region,All India,Pan Indian,N/A,Invalid region fallback,100%
French Omelette/Omelette,region,All India,Pan Indian,N/A,Invalid region fallback,100%
Puffy Omelette/Omelette,region,All India,Pan Indian,N/A,Invalid region fallback,100%
Orange Omelette/Omelette,region,All India,Pan Indian,N/A,Invalid region fallback,100%
Cheese And Mushroom Omelette/Omelette,region,All India,Pan Indian,N/A,Invalid region fallback,100%
Spanish Omelette/Omelette,region,All India,Pan Indian,N/A,Invalid region fallback,100%
Mixed Stock,region,All India,Pan Indian,N/A,Invalid region fallback,100%
Meat Stock,region,All India,Pan Indian,N/A,Invalid region fallback,100%
White Stock,region,All India,Pan Indian,N/A,Invalid region fallback,100%
Meat Consomme (With Mutton),region,All India,Pan Indian,N/A,Invalid region fallback,100%
Consomme Au Julienne,region,All India,Pan Indian,N/A,Invalid region fallback,100%
Consomme Au Vermicelli,region,All India,Pan Indian,N/A,Invalid region fallback,100%
Green Pea Soup (Matar Ka Soup),region,All India,Pan Indian,N/A,Invalid region fallback,100%
Spinach Soup (Palak Ka Soup),region,All India,Pan Indian,N/A,Invalid region fallback,100%
Mixed Vegetable Soup,region,All India,Pan Indian,N/A,Invalid region fallback,100%
Cheese Soup,region,All India,Pan Indian,N/A,Invalid region fallback,100%
Mulligatawny Soup,region,All India,Pan Indian,N/A,Invalid region fallback,100%
Cream Of Carrot Soup,region,All India,Pan Indian,N/A,Invalid region fallback,100%
Cream Of Broccoli Soup,region,All India,Pan Indian,N/A,Invalid region fallback,100%
Cream Of Potato Soup,region,All India,Pan Indian,N/A,Invalid region fallback,100%
Almond Soup (Badam Ka Soup),region,All India,Pan Indian,N/A,Invalid region fallback,100%
Cold Cucumber Cream Soup,region,All India,Pan Indian,N/A,Invalid region fallback,100%
Cold Tomato Soup,region,All India,Pan Indian,N/A,Invalid region fallback,100%
Chicken Stew,region,All India,Pan Indian,N/A,Invalid region fallback,100%
Veg Paneer Stew,region,All India,Pan Indian,N/A,Invalid region fallback,100%
Onion-Green Chilli Parantha/Paratha (Onion Aur Hari Mirch Ka Parantha/Paratha),region,North India,Pan Indian,N/A,Invalid region fallback,100%
Methi Parantha/Paratha,region,North India,Pan Indian,N/A,Invalid region fallback,100%
Eggplant/Brinjal Rice (Vangi Bhat),region,All India,Pan Indian,N/A,Invalid region fallback,100%
Kashmiri 'Tahar',region,All India,Pan Indian,N/A,Invalid region fallback,100%
Cumin Pulao (Jeera/Zeera Pulao),region,All India,Pan Indian,N/A,Invalid region fallback,100%
Peas Pulao (Matar Pulao),region,All India,Pan Indian,N/A,Invalid region fallback,100%
Split Bengal Gram Dal And Vegetable Pulao (Channa Dal And Vegetable Pulao),region,All India,Pan Indian,N/A,Invalid region fallback,100%
Black Channa Pulao/ Bengal Gram Pulao (Kale Chane Ka Pulao),region,All India,Pan Indian,N/A,Invalid region fallback,100%
Mutton Pulao,region,All India,Pan Indian,N/A,Invalid region fallback,100%
Chicken Pulao,region,All India,Pan Indian,N/A,Invalid region fallback,100%
Mexican Rice,region,All India,Pan Indian,N/A,Invalid region fallback,100%
Plain Khichdi (Plain Khichdi/Khichdi),region,All India,Pan Indian,N/A,Invalid region fallback,100%
Instant Idli (With Semolina),region,South India,Pan Indian,N/A,Invalid region fallback,100%
Plain Dosa,region,South India,Pan Indian,N/A,Invalid region fallback,100%
Masala Dosa Mixed Vegetable Fillings,region,South India,Pan Indian,N/A,Invalid region fallback,100%
Masala Dosa Paneer Fillings,region,South India,Pan Indian,N/A,Invalid region fallback,100%
Uttapam,region,South India,Pan Indian,N/A,Invalid region fallback,100%
Appam,region,South India,Pan Indian,N/A,Invalid region fallback,100%
Beans And Macaroni,region,All India,Pan Indian,N/A,Invalid region fallback,100%
Spaghetti Bolognese,region,All India,Pan Indian,N/A,Invalid region fallback,100%
Meat And Macaroni Casserole,region,All India,Pan Indian,N/A,Invalid region fallback,100%
Spaghetti With Meat Balls And Tomato Sauce,region,All India,Pan Indian,N/A,Invalid region fallback,100%
Spaghetti With Paneer Balls And Tomato Sauce,region,All India,Pan Indian,N/A,Invalid region fallback,100%
Lasagne With Meat Sauce,region,All India,Pan Indian,N/A,Invalid region fallback,100%
Lasagne With Vegetables,region,All India,Pan Indian,N/A,Invalid region fallback,100%
Home Made Egg Noodles,region,All India,Pan Indian,N/A,Invalid region fallback,100%
