name,calories,protein,fat,carbohydrate,goal
"Papaya nectar, canned",57,0.17,0.15,14.51,Weight Loss
"Fiddlehead ferns, raw",34,4.55,0.4,5.54,Weight Loss
SILK Peach soy yogurt,94,2.35,1.18,18.82,Weight Loss
SILK Plain soy yogurt,66,2.64,1.76,9.69,Weight Loss
"PACE, Enchilada Sauce",40,1.67,0.0,8.33,Weight Loss
Yeast extract spread,185,23.88,0.9,20.42,Muscle Gain
"Tomatoes, raw, green",23,1.2,0.2,5.1,Weight Loss
"Mollusks, raw, snail",90,16.1,1.4,2.0,Muscle Gain
"Emu, raw, fan fillet",103,22.5,0.8,0.0,Muscle Gain
"Sour cream, fat free",74,3.1,0.0,15.6,Weight Loss
"Frankfurter, chicken",223,15.51,16.19,2.74,Muscle Gain
"Ham, canned, chopped",239,16.06,18.83,0.26,Muscle Gain
"Carrot juice, canned",40,0.95,0.15,9.28,Weight Loss
"Fruit butters, apple",173,0.39,0.3,42.47,Weight Loss
"Fast foods, coleslaw",153,0.95,9.91,14.89,Weight Loss
"Spices, caraway seed",333,19.77,14.59,49.9,Muscle Gain
"Spices, dried, basil",233,22.98,4.07,47.75,Muscle Gain
"Pickle relish, sweet",130,0.37,0.47,35.06,Weight Loss
"Chives, freeze-dried",311,21.2,3.5,64.29,Muscle Gain
"Rice noodles, cooked",108,1.79,0.2,24.01,Weight Loss
"Sesbania flower, raw",27,1.28,0.04,6.73,Weight Loss
"KFC, Popcorn Chicken",351,17.67,21.74,21.18,Muscle Gain
"APPLEBEE'S, coleslaw",120,0.79,7.09,13.17,Weight Loss
"Cherries, raw, sweet",63,1.06,0.2,16.01,Weight Loss
"Ostrich, raw, ground",165,20.22,8.7,0.0,Muscle Gain
"SILK Coffee, soymilk",62,2.06,1.44,10.29,Weight Loss
"Peaches, raw, yellow",39,0.91,0.25,9.54,Weight Loss
"Chicken, raw, ground",143,17.44,8.1,0.04,Muscle Gain
"Pears, bartlett, raw",63,0.39,0.16,15.01,Weight Loss
"Seaweed, raw, wakame",45,3.03,0.64,9.14,Weight Loss
"Amaranth leaves, raw",23,2.46,0.33,4.02,Weight Loss
"Grape leaves, canned",69,4.27,1.97,11.71,Weight Loss
"PACE, Red Taco Sauce",50,0.0,0.0,12.5,Weight Loss
"DENNY'S, hash browns",197,2.49,8.99,26.59,Weight Loss
"Ostrich, raw, oyster",125,21.55,3.67,0.0,Muscle Gain
"Pumpkin flowers, raw",15,1.03,0.07,3.28,Weight Loss
"Loganberries, frozen",55,1.52,0.31,13.02,Weight Loss
"Tangerine juice, raw",43,0.5,0.2,10.1,Weight Loss
"Soybeans, raw, green",147,12.95,6.8,11.05,Weight Loss
"Soybean, curd cheese",151,12.5,8.1,6.9,Weight Loss
"Game meat, raw, bear",161,20.1,8.3,0.0,Muscle Gain
"Game meat, raw, deer",120,22.96,2.42,0.0,Muscle Gain
"Oranges, navels, raw",49,0.91,0.15,12.54,Weight Loss
"Fish, raw, swordfish",144,19.66,6.65,0.0,Muscle Gain
"Taro, raw, tahitian",44,2.79,0.97,6.91,Weight Loss
"Chicory greens, raw",23,1.7,0.3,4.7,Weight Loss
"Hearts of palm, raw",115,2.7,0.2,25.61,Weight Loss
"Chayote, raw, fruit",19,0.82,0.13,4.51,Weight Loss
"Fish, smoked, cisco",177,16.36,11.9,0.0,Muscle Gain
Soy protein isolate,335,88.32,3.39,0.0,Muscle Gain
"Fish, raw, milkfish",148,20.53,6.73,0.0,Muscle Gain
"Fish, raw, monkfish",76,14.48,1.52,0.0,Weight Loss
"Guavas, raw, common",68,2.55,0.95,14.32,Weight Loss
"Spices, celery seed",392,18.07,25.27,41.35,Muscle Gain
"Meatballs, meatless",197,21.0,9.0,8.0,Muscle Gain
"Emu, raw, full rump",112,22.83,1.64,0.0,Muscle Gain
"Mustard greens, raw",27,2.86,0.42,4.67,Weight Loss
"Seaweed, raw, laver",35,5.81,0.28,5.11,Weight Loss
"Figs, stewed, dried",107,1.42,0.4,27.57,Weight Loss
"SILK Mocha, soymilk",58,2.06,1.44,9.05,Weight Loss
"Game meat, raw, elk",111,22.95,1.45,0.0,Muscle Gain
"PACE, Pico De Gallo",31,0.0,0.0,9.38,Weight Loss
"Ostrich, raw, round",116,21.99,2.4,0.0,Muscle Gain
"HORMEL, Cure 81 Ham",106,18.43,3.59,0.21,Muscle Gain
"Prune juice, canned",71,0.61,0.03,17.45,Weight Loss
"McDONALD'S, BIG MAC",257,11.82,14.96,20.08,Maintain
"Soy flour, defatted",327,51.46,1.22,33.92,Muscle Gain
"Fish, raw, mahimahi",85,18.5,0.7,0.0,Muscle Gain
"Fish, raw, bluefish",124,20.04,4.24,0.0,Muscle Gain
"Spices, fennel seed",345,15.8,14.87,52.29,Muscle Gain
"Potatoes, skin, raw",58,2.57,0.1,12.44,Weight Loss
"Pepper, raw, banana",27,1.66,0.45,5.35,Weight Loss
"Drumstick pods, raw",37,2.1,0.2,8.53,Weight Loss
Acorn stew (Apache),95,6.81,3.47,9.22,Weight Loss
"Guava sauce, cooked",36,0.32,0.14,9.48,Weight Loss
"Pumpkin leaves, raw",19,3.15,0.4,2.33,Weight Loss
"Melons, raw, casaba",28,1.11,0.1,6.58,Weight Loss
"Melon balls, frozen",33,0.84,0.25,7.94,Weight Loss
"Fish, raw, tilefish",96,17.5,2.31,0.0,Muscle Gain
"SILK Plain, soymilk",41,2.88,1.65,3.29,Weight Loss
"Cabbage, raw, savoy",27,2.0,0.1,6.1,Weight Loss
"Fish, raw, tilapia",96,20.08,1.7,0.0,Muscle Gain
"Broccoli raab, raw",22,3.17,0.49,2.85,Weight Loss
"Turtle, raw, green",89,19.8,0.5,0.0,Muscle Gain
"Chicory roots, raw",72,1.4,0.2,17.51,Weight Loss
"Prickly pears, raw",41,0.73,0.51,9.57,Weight Loss
"Fish, raw, haddock",74,16.32,0.45,0.0,Muscle Gain
"Liver cheese, pork",304,15.2,25.6,2.1,Muscle Gain
"Ground turkey, raw",148,19.66,7.66,0.0,Muscle Gain
"Carrots, raw, baby",35,0.64,0.13,8.24,Weight Loss
"Spices, anise seed",337,17.6,15.9,50.02,Muscle Gain
"Catsup, low sodium",101,1.04,0.1,27.4,Weight Loss
"Milk, fluid, sheep",108,5.98,7.0,5.36,Weight Loss
"Acerola juice, raw",23,0.4,0.3,4.8,Weight Loss
"Jute, raw, potherb",34,4.65,0.25,5.8,Weight Loss
"Beef, dried, cured",153,31.1,1.94,2.76,Muscle Gain
"Seaweed, raw, kelp",43,1.68,0.56,9.57,Weight Loss
"Seaweed, raw, agar",26,0.54,0.03,6.75,Weight Loss
"Onions, raw, sweet",32,0.8,0.08,7.55,Weight Loss
"Onions, raw, welsh",34,1.9,0.4,6.5,Weight Loss
"SILK Chai, soymilk",53,2.47,1.44,7.82,Weight Loss
"Hummus, commercial",166,7.9,9.6,14.29,Weight Loss
"Vinegar, distilled",18,0.0,0.0,0.04,Weight Loss
"Sapote, raw, mamey",124,1.45,0.46,32.1,Weight Loss
"Soy flour, low-fat",372,49.81,8.9,30.63,Muscle Gain
"Syrups, sugar free",52,0.8,0.0,12.13,Weight Loss
"Spices, cumin seed",375,17.81,22.27,44.24,Muscle Gain
"Bamboo shoots, raw",27,2.6,0.3,5.2,Weight Loss
"Fish, raw, lingcod",85,17.66,1.06,0.0,Muscle Gain
"Whey, fluid, sweet",27,0.85,0.36,5.14,Weight Loss
"Yardlong bean, raw",47,2.8,0.4,8.35,Weight Loss
"Cress, raw, garden",32,2.6,0.7,5.5,Weight Loss
"Lambsquarters, raw",43,4.2,0.8,7.3,Weight Loss
Vital wheat gluten,370,75.16,1.85,13.79,Muscle Gain
"Turnip greens, raw",32,1.5,0.3,7.13,Weight Loss
"Pomegranates, raw",83,1.67,1.17,18.7,Weight Loss
"Pears, raw, asian",42,0.5,0.23,10.65,Weight Loss
Roast beef spread,223,15.27,16.28,3.73,Muscle Gain
"Chard, raw, swiss",19,1.8,0.2,3.74,Weight Loss
"Goose, raw, liver",133,16.37,4.28,6.32,Muscle Gain
"Sausage, meatless",255,20.28,18.16,8.09,Muscle Gain
"Peppermint, fresh",70,3.75,0.94,14.89,Weight Loss
"Vinegar, red wine",19,0.04,0.0,0.27,Weight Loss
"Vinegar, balsamic",88,0.49,0.0,17.03,Weight Loss
"Luxury loaf, pork",141,18.4,4.8,4.9,Muscle Gain
"Oheloberries, raw",28,0.38,0.22,6.84,Weight Loss
"PACE, Salsa Verde",47,0.0,1.56,6.25,Weight Loss
"Plantains, cooked",116,0.79,0.18,31.15,Weight Loss
"Burdock root, raw",72,1.53,0.15,17.34,Weight Loss
"Butterbur, canned",3,0.11,0.13,0.38,Weight Loss
"Ostrich, raw, fan",117,21.81,2.65,0.0,Muscle Gain
"SILK Nog, soymilk",74,2.46,1.64,12.3,Weight Loss
"Cheese, provolone",351,25.58,26.62,2.14,Muscle Gain
"Cheese, roquefort",369,21.54,30.64,2.0,Muscle Gain
"Strawberries, raw",32,0.67,0.3,7.68,Weight Loss
"Fish, raw, burbot",90,19.31,0.81,0.0,Muscle Gain
"Wheat germ, crude",360,23.15,9.72,51.8,Muscle Gain
"Wheat bran, crude",216,15.55,4.25,64.51,Muscle Gain
"Gooseberries, raw",44,0.88,0.58,10.18,Weight Loss
"Spices, dill seed",305,15.98,14.54,55.17,Muscle Gain
"APPLEBEE'S, chili",157,12.56,9.79,4.57,Weight Loss
"Grape leaves, raw",93,5.6,2.12,17.31,Weight Loss
"Kale, raw, scotch",42,2.8,0.6,8.32,Weight Loss
"Whey, fluid, acid",24,0.76,0.09,5.12,Weight Loss
"Eggplant, pickled",49,0.9,0.7,9.77,Weight Loss
"Fennel, raw, bulb",31,1.24,0.2,7.3,Weight Loss
"Egg, dried, white",382,81.1,0.0,7.8,Muscle Gain
"Wild rice, cooked",101,3.99,0.34,21.34,Weight Loss
"Chicken, meatless",224,23.64,12.73,3.64,Muscle Gain
"Veal, raw, ground",197,18.58,13.06,0.0,Muscle Gain
"Elderberries, raw",73,0.66,0.5,18.4,Weight Loss
"Orange juice, raw",45,0.7,0.2,10.4,Weight Loss
"Cabbage, raw, red",31,1.43,0.16,7.37,Weight Loss
"Blackberries, raw",43,1.39,0.49,9.61,Weight Loss
"Wasabi, raw, root",109,4.8,0.63,23.54,Weight Loss
"Cheese, limburger",327,20.05,27.25,0.49,Muscle Gain
"Raspberries, raw",52,1.2,0.65,11.94,Weight Loss
"Taro shoots, raw",11,0.92,0.09,2.32,Weight Loss
"Emu, raw, ground",134,22.77,4.03,0.0,Muscle Gain
"Fish, raw, cisco",98,18.99,1.91,0.0,Muscle Gain
"Couscous, cooked",112,3.79,0.16,23.22,Weight Loss
"Dill weed, fresh",43,3.46,1.12,7.02,Weight Loss
"Spearmint, dried",285,19.93,6.03,52.04,Muscle Gain
"Spearmint, fresh",44,3.29,0.73,8.41,Weight Loss
Tamales (Navajo),153,6.28,6.12,18.12,Weight Loss
"Lemon juice, raw",22,0.35,0.24,6.9,Weight Loss
"Ginger root, raw",80,1.82,0.75,17.77,Weight Loss
"Fish, tuna salad",187,16.04,9.26,9.41,Muscle Gain
"Orange peel, raw",97,1.5,0.2,25.0,Weight Loss
"Blueberries, raw",57,0.74,0.33,14.49,Weight Loss
"Cheese, muenster",368,23.41,30.04,1.12,Muscle Gain
"Beet greens, raw",22,2.2,0.13,4.33,Weight Loss
"Cheese, cheshire",387,23.37,30.6,4.78,Muscle Gain
"Clementines, raw",47,0.85,0.15,12.02,Weight Loss
"Peas, raw, green",81,5.42,0.4,14.45,Weight Loss
"Oat bran, cooked",40,3.21,0.86,11.44,Weight Loss
"Pears, bosc, raw",67,0.36,0.09,16.1,Weight Loss
"Pastrami, turkey",139,16.3,6.21,3.34,Muscle Gain
"Cranberries, raw",46,0.46,0.13,11.97,Weight Loss
"Emu, raw, oyster",141,22.81,4.86,0.0,Muscle Gain
"Rose-apples, raw",25,0.6,0.3,5.7,Weight Loss
"Cheese, monterey",373,24.48,30.28,0.68,Muscle Gain
"Fish, raw, scup",105,18.88,2.73,0.0,Muscle Gain
"Cheese, caraway",376,25.18,29.2,3.06,Muscle Gain
"Bread, oat bran",236,10.4,4.4,39.8,Maintain
"Watermelon, raw",30,0.61,0.15,7.55,Weight Loss
"Rosemary, fresh",131,3.31,5.86,20.7,Weight Loss
"Rye flour, dark",325,15.91,2.22,68.63,Muscle Gain
"Lemon peel, raw",47,1.5,0.3,16.0,Weight Loss
"Nectarines, raw",44,1.06,0.32,10.55,Weight Loss
"Mulberries, raw",43,1.44,0.39,9.8,Weight Loss
"Lotus root, raw",74,2.6,0.1,17.23,Weight Loss
"Sauce, barbecue",172,0.82,0.63,40.77,Weight Loss
"Fish, raw, spot",123,18.51,4.9,0.0,Muscle Gain
"Crabapples, raw",76,0.4,0.3,19.95,Weight Loss
"Breadfruit, raw",103,1.07,0.23,27.12,Weight Loss
"Pimento, canned",23,1.1,0.3,5.1,Weight Loss
"Tomatillos, raw",32,0.96,1.02,5.84,Weight Loss
"Fish, raw, carp",127,17.83,5.6,0.0,Muscle Gain
"Wheat, sprouted",198,7.49,1.27,42.53,Weight Loss
"Fish, raw, cusk",87,18.99,0.69,0.0,Muscle Gain
"Watercress, raw",11,2.3,0.1,1.29,Weight Loss
"Fish, raw, ling",87,18.99,0.64,0.0,Muscle Gain
"Lime juice, raw",25,0.42,0.07,8.42,Weight Loss
"Cabbage, kimchi",15,1.1,0.5,2.4,Weight Loss
"Cheese, fontina",389,25.6,31.14,1.55,Muscle Gain
"Arrowroot, raw",65,4.24,0.2,13.39,Weight Loss
"Vinegar, cider",21,0.0,0.0,0.93,Weight Loss
"Pectin, liquid",11,0.0,0.0,2.1,Weight Loss
"Quinoa, cooked",120,4.4,1.92,21.3,Weight Loss
"Plantains, raw",122,1.3,0.37,31.89,Weight Loss
"Parsley, fresh",36,2.97,0.79,6.33,Weight Loss
"Cheese, romano",387,31.8,26.94,3.63,Muscle Gain
"Radicchio, raw",23,1.43,0.25,4.48,Weight Loss
"Bulgur, cooked",83,3.08,0.24,18.58,Weight Loss
"Tempeh, cooked",195,19.91,11.38,7.62,Muscle Gain
Chicken spread,158,18.01,17.56,4.05,Muscle Gain
"Millet, cooked",119,3.51,1.0,23.67,Weight Loss
"Capers, canned",23,2.36,0.86,4.89,Weight Loss
"Sapodilla, raw",83,0.44,1.1,19.96,Weight Loss
"Arrowhead, raw",99,5.33,0.29,20.23,Weight Loss
"Frog legs, raw",73,16.4,0.3,0.0,Muscle Gain
"Jackfruit, raw",95,1.72,0.64,23.25,Weight Loss
"Rutabagas, raw",37,1.08,0.16,8.62,Weight Loss
"Cornsalad, raw",21,2.0,0.4,3.6,Weight Loss
"Cherimoya, raw",75,1.57,0.68,17.71,Weight Loss
"Cheese, tilsit",340,24.41,25.98,1.88,Muscle Gain
"Asparagus, raw",20,2.2,0.12,3.88,Weight Loss
"Apricots, raw",48,1.4,0.39,11.12,Weight Loss
"Broccoli, raw",34,2.82,0.37,6.64,Weight Loss
"Cheese, brick",371,23.24,29.68,2.79,Muscle Gain
"Shallots, raw",72,2.5,0.1,16.8,Weight Loss
Meat extender,311,41.71,2.97,34.71,Muscle Gain
"Purslane, raw",20,2.03,0.36,3.39,Weight Loss
"Radishes, raw",16,0.68,0.1,3.4,Weight Loss
"KFC, Coleslaw",144,0.91,8.64,15.65,Weight Loss
"Parsnips, raw",75,1.2,0.3,17.99,Weight Loss
"Collards, raw",32,3.02,0.61,5.42,Weight Loss
"Cheese, colby",394,23.76,32.11,2.57,Muscle Gain
"Bologna, pork",247,15.3,19.87,0.73,Muscle Gain
"Celeriac, raw",42,1.5,0.3,9.2,Weight Loss
"Kumquats, raw",71,1.88,0.86,15.9,Weight Loss
"Oat bran, raw",246,17.3,7.03,66.22,Muscle Gain
"Spelt, cooked",127,5.5,0.85,26.44,Weight Loss
"Kohlrabi, raw",27,1.7,0.1,6.2,Weight Loss
"Cheese, swiss",393,26.96,30.99,1.44,Muscle Gain
"Cheese, gouda",356,24.94,27.44,2.22,Muscle Gain
"Cheese, blue",353,21.4,28.74,2.34,Muscle Gain
"Cheese, brie",334,20.75,27.68,0.45,Muscle Gain
"Celtuce, raw",18,0.85,0.3,3.65,Weight Loss
"Thyme, fresh",101,5.56,1.68,24.45,Weight Loss
"Basil, fresh",23,3.15,0.64,2.65,Weight Loss
"Rhubarb, raw",21,0.9,0.2,4.54,Weight Loss
"Nopales, raw",16,1.32,0.09,3.33,Weight Loss
"Longans, raw",60,1.31,0.1,15.14,Weight Loss
"Loquats, raw",47,0.43,0.2,12.14,Weight Loss
"Epazote, raw",32,0.33,0.52,7.44,Weight Loss
"Pumpkin, raw",26,1.0,0.1,6.5,Weight Loss
"Carrots, raw",41,0.93,0.24,9.58,Weight Loss
"Fish, surimi",99,15.18,0.9,6.85,Muscle Gain
"Cabbage, raw",25,1.28,0.1,5.8,Weight Loss
"Cardoon, raw",17,0.7,0.1,4.07,Weight Loss
"Abiyuch, raw",69,1.5,0.1,17.6,Weight Loss
"Cheese, edam",357,24.99,27.8,1.43,Muscle Gain
"Pummelo, raw",38,0.76,0.04,9.62,Weight Loss
"Quinces, raw",57,0.4,0.1,15.3,Weight Loss
"Roselle, raw",49,0.96,0.64,11.31,Weight Loss
"Soursop, raw",66,1.0,0.3,16.84,Weight Loss
"Arugula, raw",25,2.58,0.66,3.65,Weight Loss
"Litchis, raw",66,0.83,0.44,16.53,Weight Loss
"Teff, cooked",101,3.87,0.65,19.86,Weight Loss
"Spinach, raw",23,2.86,0.39,3.63,Weight Loss
"Lentils, raw",352,24.63,1.06,63.35,Muscle Gain
"Cassava, raw",160,1.36,0.28,38.06,Weight Loss
"Turnips, raw",28,0.9,0.1,6.43,Weight Loss
"Bananas, raw",89,1.09,0.33,22.84,Weight Loss
"Papayas, raw",43,0.47,0.26,10.82,Weight Loss
"Chives, raw",30,3.27,0.73,4.35,Weight Loss
"Salt, table",0,0.0,0.0,0.0,Weight Loss
"Tofu, fried",270,18.82,20.18,8.86,Muscle Gain
"Borage, raw",21,1.8,0.7,3.06,Weight Loss
"Mangos, raw",60,0.82,0.38,14.98,Weight Loss
"Garlic, raw",149,6.36,0.5,33.06,Weight Loss
"Endive, raw",17,1.25,0.2,3.35,Weight Loss
Tofu yogurt,94,3.5,1.8,15.96,Weight Loss
"Celery, raw",16,0.69,0.17,2.97,Weight Loss
"Feijoa, raw",61,0.71,0.42,15.21,Weight Loss
"Ham, minced",263,16.28,20.68,1.84,Muscle Gain
"Jujube, raw",79,1.2,0.2,20.23,Weight Loss
"Onions, raw",40,1.1,0.1,9.34,Weight Loss
Fish broth,16,2.0,0.6,0.4,Weight Loss
"Eppaw, raw",150,4.6,1.8,31.68,Weight Loss
"Limes, raw",30,0.7,0.2,10.54,Weight Loss
"Pears, raw",57,0.36,0.14,15.23,Weight Loss
"Plums, raw",46,0.7,0.28,11.42,Weight Loss
"Rowal, raw",111,2.3,2.0,23.9,Weight Loss
"Beets, raw",43,1.61,0.17,9.56,Weight Loss
"Dock, raw",22,2.0,0.7,3.2,Weight Loss
"Kale, raw",49,4.28,0.93,8.75,Weight Loss
"Okra, raw",33,1.93,0.19,7.45,Weight Loss
"Taro, raw",112,1.5,0.2,26.46,Weight Loss
"Figs, raw",74,0.75,0.3,19.18,Weight Loss
"Goat, raw",109,20.6,2.31,0.0,Muscle Gain
"Yam, raw",118,1.53,0.17,27.88,Weight Loss
Eggnog,88,4.55,4.19,8.05,Weight Loss
Catsup,101,1.04,0.1,27.4,Weight Loss
Tempeh,192,20.29,10.8,7.64,Muscle Gain
Natto,211,19.4,11.0,12.68,Muscle Gain
Okara,76,3.52,1.73,12.23,Weight Loss
Papad,371,25.56,3.25,59.87,Muscle Gain
Oats,389,16.89,6.9,66.27,Muscle Gain
Miso,198,12.79,6.01,25.37,Weight Loss
Poi,112,0.38,0.14,27.23,Weight Loss
"Winged bean leaves, raw",74,5.85,1.1,14.1,Weight Loss
"Corn, raw, white, sweet",86,3.22,1.18,19.02,Weight Loss
"Fish, raw, king, mackerel",105,20.28,2.0,0.0,Muscle Gain
"Mushrooms, raw, portabella",22,2.11,0.35,3.87,Weight Loss
"Fish, raw, striped, mullet",117,19.35,3.79,0.0,Muscle Gain
"Egg, poached, cooked, whole",143,12.51,9.47,0.71,Weight Loss
"Cheese, queso anejo, mexican",373,21.44,29.98,4.63,Muscle Gain
"Smelt, dried (Alaska Native)",386,56.19,17.9,0.0,Muscle Gain
"Lamb, broiled, cooked, ground",283,24.75,19.65,0.0,Muscle Gain
"Salami, beef and pork, cooked",336,21.85,25.9,2.4,Muscle Gain
"Yogurt, nonfat, fruit variety",95,4.4,0.2,19.0,Weight Loss
"Chicken, raw, giblets, capons",130,18.28,5.18,1.42,Muscle Gain
"Fish, raw, mixed species, roe",143,22.32,6.42,1.5,Muscle Gain
"Fish, smoked, chinook, salmon",117,18.28,4.32,0.0,Muscle Gain
HOUSE FOODS Premium Firm Tofu,85,10.92,4.19,0.97,Weight Loss
"Peppers, canned, green, chili",21,0.72,0.27,4.6,Weight Loss
"Pumpkin, without salt, canned",34,1.1,0.28,8.09,Weight Loss
"Dove, cooked (includes squab)",213,23.9,13.0,0.0,Muscle Gain
"Beverages, orange, carbonated",48,0.0,0.0,12.3,Weight Loss
"Kefir, LIFEWAY, plain, lowfat",41,3.79,0.93,4.48,Weight Loss
"Cheese substitute, mozzarella",248,11.47,12.22,23.67,Maintain
"Crustaceans, raw, queen, crab",90,18.5,1.18,0.0,Muscle Gain
"Wheat, cooked, KAMUT khorasan",132,5.71,0.83,27.6,Weight Loss
"Sauce, ready-to-serve, oyster",51,1.35,0.25,10.92,Weight Loss
"Cheese, queso cotija, mexican",366,20.0,30.0,3.97,Muscle Gain
"Ostrich, cooked, inside strip",164,29.37,4.26,0.0,Muscle Gain
"SILK Light Chocolate, soymilk",49,2.06,0.62,9.05,Weight Loss
"Cheese, queso seco, dry white",325,24.51,24.35,2.04,Muscle Gain
"Fish, raw, wild, coho, salmon",146,21.62,5.93,0.0,Muscle Gain
"Beets, drained solids, canned",31,0.91,0.14,7.21,Weight Loss
"Fast foods, hot fudge, sundae",180,3.57,5.46,30.17,Weight Loss
"Ice creams, fat free, vanilla",138,4.48,0.0,30.06,Weight Loss
"Turkey Pot Pie, frozen entree",176,6.5,8.8,17.7,Weight Loss
"Turkey, raw, meat only, whole",112,22.64,1.93,0.14,Muscle Gain
"Fish, raw, mixed species, eel",184,18.44,11.66,0.0,Muscle Gain
